land_area,affected_families,landowners,compensation_completion,legal_dispute,court_cases,ownership_conflict,approval_delay_days,possession_pct,rehabilitation_pct,stakeholder_response,delay_probability,delay_status,predicted_delay_days
380.7947176588889,824,792,38.34276297516709,0,6,0,43,40.033378681806695,33.12570695576229,Good,74.4,Delayed,94.0
951.207163345817,21,333,10.343542071191242,0,5,0,99,38.48219056553487,11.881856110171148,Good,82.81,Delayed,102.0
734.6740023932911,327,798,71.3502534161458,1,7,0,27,79.65955785646081,30.078101660082023,Good,80.7,Delayed,100.0
602.6718993550662,601,150,25.04188103240991,0,5,0,16,14.686516559914278,15.08641217170816,Normal,80.07,Delayed,94.0
164.45845403801215,225,479,68.97541687224924,0,9,0,126,11.153948455954524,19.305544296703737,Poor,96.69,Delayed,113.0
164.43457513284062,348,796,99.2568355451055,1,2,0,122,81.59899527339833,48.83573078628781,Good,65.57,Delayed,85.0
67.50277604651747,785,343,16.540378444901464,1,3,0,130,52.943173839014435,30.692653377546932,Normal,93.79,Delayed,110.0
867.5143843171858,670,382,16.937021075631463,1,2,1,75,21.779302469821836,56.4351290672881,Normal,98.15,Delayed,119.0
605.1038616257767,90,573,40.63420834000074,1,0,0,45,31.200934113505113,32.814437793147135,Normal,67.04,Delayed,81.0
710.9918520180851,736,503,87.97478628262078,1,9,1,68,93.92535577876443,94.64835709926528,Good,83.9,Delayed,108.0
30.378649352844423,494,548,29.397688191219867,0,4,0,136,87.35526780624082,91.5349571133638,Normal,85.19,Delayed,107.0
970.2107536403744,383,678,42.43400379373128,1,0,0,84,73.88065452015752,61.01254945094194,Good,69.56,Delayed,77.0
834.1182143924175,985,760,16.16548659642816,0,0,0,10,53.40027073035939,41.89815927886475,Good,33.51,At-Risk,34.0
220.2157195714934,719,165,78.68397621330004,1,1,0,68,56.829126357224716,44.3032193831262,Poor,85.57,Delayed,106.0
190.00671753502962,209,300,46.7475708483506,0,3,0,98,97.77200817555628,47.066705483004725,Good,63.04,Delayed,75.0
191.5704647548995,546,657,78.33238597547586,0,5,0,90,96.91933994958585,75.48213899214497,Good,47.01,At-Risk,54.0
311.1998205299424,475,153,91.32470599121156,0,7,0,93,29.374214120725085,50.647509596695414,Poor,94.8,Delayed,119.0
529.5088673159155,98,115,30.948683239115987,1,2,0,114,82.99941096747864,87.10569518553076,Good,60.38,Delayed,73.0
437.62556845569463,277,429,82.66564273059562,0,0,0,30,27.751839955031514,94.9685307337328,Normal,37.02,At-Risk,45.0
298.3168487960615,664,679,15.318450107042795,1,2,0,10,29.218373009555624,40.235153804104044,Good,83.99,Delayed,105.0
615.7343657751557,580,667,90.89626493622227,1,2,0,86,70.84837307481192,60.46250332381121,Good,67.89,Delayed,80.0
148.09892204552142,931,11,68.56916928028727,0,4,0,120,46.45009887287936,18.5550883149308,Good,73.26,Delayed,96.0
299.22320204986596,498,598,88.68040517245164,1,3,0,129,93.83899663958682,28.042214298972308,Good,72.72,Delayed,83.0
372.6982248607548,886,653,10.016955960092371,1,3,1,104,18.010876140640796,47.21191900391441,Normal,98.31,Delayed,121.0
461.50928437486556,547,99,25.217296332039325,0,8,1,26,56.037307672854375,28.558244431160098,Normal,94.71,Delayed,121.0
787.3242017790834,56,354,45.078344868384285,0,6,0,1,92.66693773988091,88.89044417098458,Normal,50.74,At-Risk,54.0
207.67704433677613,297,359,44.15526130372467,0,3,0,102,91.37022944315547,24.245763045318824,Poor,85.76,Delayed,101.0
519.0920940294754,787,468,30.40573446311596,0,2,1,100,24.08762920741671,51.009473939778275,Good,80.69,Delayed,103.0
596.4904231734221,25,272,44.34507458804801,0,5,0,20,42.99739300868108,64.5129316413888,Normal,57.62,At-Risk,75.0
55.98590859279775,720,360,21.596384080022936,1,2,0,57,65.72092600420265,72.26775173447601,Normal,78.7,Delayed,94.0
611.4694033824239,410,117,47.148501633942345,0,5,1,132,24.345539629426195,44.476243275385606,Poor,96.64,Delayed,112.0
178.8188824504186,928,595,82.21188962433378,1,8,0,84,97.12199548411648,88.21891618522557,Good,84.56,Delayed,106.0
74.40107705542673,803,48,53.11630567930161,0,5,0,92,92.32743958548943,61.148723597013294,Normal,73.28,Delayed,94.0
949.3966818807999,990,168,11.620008005069348,0,3,0,19,25.025516113102228,49.55570024027966,Poor,92.93,Delayed,106.0
965.9757127438138,95,592,47.929963742132266,1,4,0,60,20.903991513488688,16.051657064683297,Good,85.63,Delayed,97.0
810.3133746352966,259,321,12.445751448175974,1,5,1,37,17.686763452743875,51.82205216006485,Poor,98.16,Delayed,119.0
311.56763148163697,400,250,96.96190696361184,0,2,0,147,91.8499297632968,83.86622567341573,Good,40.15,At-Risk,51.0
106.69539286632003,791,454,21.470856348058206,0,7,0,24,27.42614288159147,65.3086916399184,Normal,82.07,Delayed,97.0
687.3906962470353,344,307,73.69194936975569,0,3,0,129,47.46564356899192,84.89462083562066,Poor,79.58,Delayed,99.0
445.7509688022053,638,45,97.54986906028772,0,7,0,120,50.39662290868027,54.46105035393751,Normal,86.64,Delayed,100.0
130.81785249633106,528,93,84.34351464999146,0,9,0,25,63.91099397922108,20.661553458503366,Normal,77.25,Delayed,82.0
500.2251410101575,146,461,72.93838376135832,0,9,0,66,16.456180937268247,11.227586125229296,Good,78.85,Delayed,93.0
44.04463590406621,892,784,85.55148185506903,0,2,1,0,30.408275566046434,37.2897592046732,Poor,69.79,Delayed,84.0
910.2271980579942,697,394,98.36188239345648,1,9,0,50,93.83413482270335,72.81914243480132,Normal,81.57,Delayed,97.0
266.1921817840167,849,181,65.92100475281767,0,6,0,4,91.75690965417125,81.12339135475244,Good,37.6,At-Risk,39.0
665.8970615104422,507,385,60.32663261463938,0,8,0,12,80.3161582665123,36.61775511582965,Normal,78.53,Delayed,85.0
318.59396532851684,836,694,66.54142994169533,0,3,0,146,11.746112105639389,54.60885287949224,Normal,79.28,Delayed,93.0
524.8673409660327,736,371,57.940829808539945,1,7,1,139,39.43060916464919,47.900701399067344,Good,97.19,Delayed,121.0
551.2431765498469,486,568,67.15801953187469,1,2,0,47,66.5162861808617,46.94705059162851,Good,63.09,Delayed,82.0
193.00591097027177,603,150,50.48579871753033,0,6,1,56,34.76711905961281,30.821384188013543,Good,77.61,Delayed,99.0
969.888781486913,232,127,29.65988645949764,1,2,0,114,91.86280255483996,22.273399452651255,Normal,84.89,Delayed,98.0
777.3814951275034,999,286,20.822250386050808,0,6,0,34,67.05005156491977,27.70197024080918,Normal,78.61,Delayed,89.0
940.1039521485473,381,735,16.150684197903438,0,9,0,75,16.471604558480102,14.979914844701149,Normal,94.25,Delayed,116.0
895.8790769233724,944,229,33.69842053778801,0,9,0,93,91.81050299521327,27.831766764121934,Poor,94.72,Delayed,117.0
601.9209790229743,411,35,14.151120790216044,0,5,0,4,96.19899923586003,10.82808078628415,Poor,78.58,Delayed,96.0
922.6554926728857,452,530,61.045370192744706,1,1,1,21,16.994117655255295,66.45325605723804,Normal,83.39,Delayed,90.0
97.6075770314003,499,792,35.54456023211682,1,2,0,102,57.91242113751834,38.47378666489146,Good,85.17,Delayed,98.0
204.02303379495373,624,19,84.20813272783289,0,5,1,130,37.302785399275336,97.58302402842178,Normal,93.0,Delayed,111.0
54.775016021432684,282,387,16.68167856895478,0,3,0,123,45.35551688332621,27.43453456986681,Normal,92.2,Delayed,113.0
332.0770274556317,535,642,30.371634490733733,0,5,0,52,26.16860961598077,41.12457132786345,Normal,72.63,Delayed,91.0
